subtype	Genotyphi_genotype	count	earliest_year_collected	latest_year_collected	top_geo_loc_name
0.4	Typhi_0.0.1	5	1998	2016	Africa
0.2	Typhi_0.0.2	6	2010	2017	Asia
0.3	Typhi_0.0.3	20	2002	2018	Asia
0.1	Typhi_0.1.0	8	1939	2018	Africa
0.1.1	Typhi_0.1.1	2	1958	2014	Cameroon
0.1.2	Typhi_0.1.2	1	1999	1999	Algeria
0.1.3	Typhi_0.1.3	1	1998	1998	Peru
0	Typhi_1.0.0	0	-	-	-
1	Typhi_1.1.0	4	1936	2018	Vietnam
1.1	Typhi_1.1.1	1	2005	2005	Algeria
1.2	Typhi_1.1.2	2	2007	2012	South Africa
1.3	Typhi_1.1.3	4	1976	2019	Africa
1.4	Typhi_1.1.4	0	2011	2011	unknown
3	Typhi_1.2.0	2	2012	2016	Vietnam
3.1	Typhi_1.2.1	9	1935	2018	Asia
2	Typhi_2.0.0	108	1936	2020	Asia
2.6	Typhi_2.0.1	25	2003	2019	Asia
2.7	Typhi_2.0.2	14	1999	2019	Asia
2.1	Typhi_2.1.0	12	2010	2019	Africa
2.1.1	Typhi_2.1.1	3	2006	2006	Indonesia
2.1.2	Typhi_2.1.2	1	2002	2013	Indonesia
2.1.3	Typhi_2.1.3	3	2004	2011	Indonesia
2.1.4	Typhi_2.1.4	0	2002	2002	unknown
2.1.5	Typhi_2.1.5	2	2010	2011	Indonesia
2.1.6	Typhi_2.1.6	9	2008	2012	Indonesia
2.1.7	Typhi_2.1.7	89	1939	2019	Papua New Guinea
2.1.8	Typhi_2.1.8	6	2006	2011	Indonesia
2.1.9	Typhi_2.1.9	12	2005	2012	Indonesia
2.2	Typhi_2.2.0	58	1942	2020	Africa
2.2.1	Typhi_2.2.1	19	2003	2019	Asia
2.2.2	Typhi_2.2.2	45	2001	2019	Asia
2.2.2.1	Typhi_2.2.3	7	2002	2010	Laos
2.2.4	Typhi_2.2.4	3	2004	2017	India
2.2.3	Typhi_2.3.0	4	2013	2016	Asia
2.2.3.2.1	Typhi_2.3.1	40	1958	2020	Africa
2.2.3.2	Typhi_2.3.2	75	1905	2019	Africa
2.2.3.3	Typhi_2.3.3	61	1905	2019	Asia
2.2.3.4	Typhi_2.3.4	13	1981	2017	Asia
2.2.3.5	Typhi_2.3.5	14	1983	2017	Oceania
2.4	Typhi_2.4.0	39	1973	2018	Asia
2.4.1	Typhi_2.4.1	23	2004	2012	Africa
2.5	Typhi_2.5.0	70	1977	2019	Africa
2.5.1	Typhi_2.5.1	167	2005	2019	Africa
2.3	Typhi_3.0.0	252	1939	2019	Asia
2.3.7	Typhi_3.0.1	15	2000	2019	Asia
2.3.8	Typhi_3.0.2	8	2009	2017	Asia
2.3.1	Typhi_3.1.0	19	1958	2018	Asia
2.3.1.1	Typhi_3.1.1	241	2002	2019	Africa
2.3.1.2	Typhi_3.1.2	36	1937	2018	Asia
2.3.2	Typhi_3.2.0	0	2016	2017	unknown
2.3.2.1	Typhi_3.2.1	143	1973	2019	Asia
2.3.2.2	Typhi_3.2.2	72	2003	2020	Asia
2.3.3	Typhi_3.3.0	149	1937	2019	Asia
2.3.3.1	Typhi_3.3.1	60	2000	2019	Africa
2.3.3.2	Typhi_3.3.2	0	-	-	-
2.3.3.2.1	Typhi_3.3.2.Bd1	0	-	-	-
2.3.3.2.2	Typhi_3.3.2.Bd2	0	-	-	-
2.3.4	Typhi_3.4.0	62	1972	2018	Asia
2.3.5	Typhi_3.5.0	20	1991	2017	Asia
2.3.5.1	Typhi_3.5.1	1	1985	1985	Fiji
2.3.5.2	Typhi_3.5.2	5	2009	2010	Laos
2.3.5.4.1	Typhi_3.5.3	5	2004	2011	Samoa
2.3.5.4	Typhi_3.5.4	99	1992	2017	Samoa
2.3.6	Typhi_4.0.0	17	2015	2019	Vietnam
2.3.6.1	Typhi_4.1.0	156	1905	2019	Asia
2.3.6.1.1	Typhi_4.1.1	25	1998	2019	Africa
2.3.6.2	Typhi_4.2.0	11	1980	2003	Oceania
2.3.6.2.1	Typhi_4.2.1	35	1981	2013	Fiji
2.3.6.2.2	Typhi_4.2.2	70	2007	2018	Fiji
2.3.6.2.3	Typhi_4.2.3	12	1993	1996	Fiji
2.3.6.3	Typhi_4.3.1	204	1999	2019	Asia
2.3.6.3.1	Typhi_4.3.1.1	1907	1992	2020	Asia
2.3.6.3.1.1	Typhi_4.3.1.1.P1	0	-	-	-
2.3.6.3.2	Typhi_4.3.1.2	477	2000	2020	Asia
2.3.6.3.3	Typhi_4.3.1.3	0	-	-	-
